ticker,fiscal_year,exploitable,raison_non_exploitable,date_annonce,date_ex,date_paiement,montant,yield_pct,source_montant,n_ex_div_doublons_ignores,prix_annonce,prix_veille_ex,prix_jour_ex,prix_paiement,variation_annonce_a_veille_ex_pct,chute_reelle_fcfa,chute_reelle_pct_du_dividende,variation_ex_a_paiement_pct,variation_totale_annonce_a_paiement_pct,volume_moyen_avant_annonce,volume_moyen_annonce_a_ex,volume_moyen_ex_a_paiement
CFAC,2022,True,,2023-06-27,2023-09-13,2023-09-15,16.0,1.71,DIVIDEND_HISTORY,0,805.0,965.0,940.0,900.0,19.88,25.0,156.2,-4.26,11.8,1547.0,1805.0,441.0
CFAC,2023,True,,2024-06-27,2024-08-28,2024-08-30,7.0,0.84,DIVIDEND_HISTORY,0,670.0,655.0,680.0,685.0,-2.24,-25.0,-357.1,0.74,2.24,1536.0,1171.0,1932.0
CFAC,2024,False,pas d'AG trouvée dans la fenêtre 5-120j avant EX_DIVIDEND,,2025-08-14,2025-08-19,55.0,9.24,DIVIDEND_HISTORY,0,,,,,,,,,,,,
CIEC,2021,True,,2022-06-20,2022-07-21,2022-07-25,158.0,8.31,DIVIDEND_HISTORY,2,2350.0,2295.0,2300.0,2230.0,-2.34,-5.0,-3.2,-3.04,-5.11,2390.0,2085.0,1105
CIEC,2022,True,,2023-06-20,2023-07-27,2023-07-31,171.0,8.59,DIVIDEND_HISTORY,2,2080.0,2245.0,2225.0,2200.0,7.93,20.0,11.7,-1.12,5.77,881.0,2903.0,562
CIEC,2023,True,,2024-06-26,2024-07-26,2024-07-30,158.0,9.32,DIVIDEND_HISTORY,2,2030.0,2075.0,1975.0,1930.0,2.22,100.0,63.3,-2.28,-4.93,4422.0,9356.0,3936.0
CIEC,2024,False,pas d'AG trouvée dans la fenêtre 5-120j avant EX_DIVIDEND,,2025-07-29,2025-07-31,374.0,10.52,DIVIDEND_HISTORY,2,,,,,,,,,,,,
CIEC,2025,True,,2026-06-24,2026-06-30,2026-07-01,234.0,4.38,DIVIDEND,2,4995.0,5210.0,5300.0,5315.0,4.3,-90.0,-38.5,0.28,6.41,4622.0,3446.0,4664.0
ECOC,2021,True,,2022-04-05,2022-04-26,2022-04-29,549.0,11.47,DIVIDEND_HISTORY,1,5000.0,5000.0,4720.0,4695.0,0.0,280.0,51.0,-0.53,-6.1,4964.0,2579.0,2370.0
ECOC,2022,True,,2023-04-26,2023-05-25,2023-05-30,594.0,12.01,DIVIDEND_HISTORY,1,5380.0,5500.0,5300.0,5280.0,2.23,200.0,33.7,-0.38,-1.86,6340.0,1985.0,11978
ECOC,2023,True,,2024-04-25,2024-05-28,2024-05-30,708.0,10.41,DIVIDEND_HISTORY,1,6900.0,7500.0,7390.0,7300.0,8.7,110.0,15.5,-1.22,5.8,2879.0,1872.0,3262.0
ECOC,2024,True,,2025-04-29,2025-05-27,2025-05-30,781.0,8.88,DIVIDEND_HISTORY,1,9890.0,12605.0,11800.0,11150.0,27.45,805.0,103.1,-5.51,12.74,778,805.0,399.0
ECOC,2025,True,,2026-04-24,2026-05-21,2026-05-22,888.0,5.45,DIVIDEND,1,16000.0,16300.0,16300.0,16300.0,1.88,0.0,0.0,0.0,1.88,1235.0,1958.0,2216.0
ETIT,2021,False,montant dividende introuvable (ni DIVIDEND ni DIVIDEND_HISTORY),2022-05-25,2022-06-16,2022-06-20,,,,0,,,,,,,,,,,,
ETIT,2022,False,montant dividende introuvable (ni DIVIDEND ni DIVIDEND_HISTORY),2023-05-17,2023-06-06,2023-06-08,,,,0,,,,,,,,,,,,
FTSC,2023,True,,2024-06-20,2024-09-26,2024-09-30,1727.0,93.83,DIVIDEND_HISTORY,0,770.35,889.53,843.02,837.21,15.47,46.51,2.7,-0.69,8.68,3547.0,1939.0,1557.0
FTSC,2024,False,montant dividende introuvable (ni DIVIDEND ni DIVIDEND_HISTORY),2025-06-26,2025-09-26,2025-09-30,,,,0,,,,,,,,,,,,
LNBB,,False,aucun événement dividende (AG/EX_DIVIDEND) trouvé pour ce ticker,,,,,,,,,,,,,,,,,,,
