EXPLORATION FACTUELLE — FENÊTRE ±60J AUTOUR DU PAIEMENT DE DIVIDENDE
======================================================================
123/150 cycles exploitables sur 49 tickers

Variation totale (J-60 à J+60)  : médiane=+2.9%, moyenne=+6.2% (n=123)
Variation avant (J-60 à J-1)     : médiane=+2.5%, moyenne=+3.5% (n=92)
Variation après (J0 à J+60)      : médiane=+0.2%, moyenne=+2.8% (n=118)
Ratio volume après/avant          : médiane=0.97x, moyenne=1.24x (n=120)

Détail par cycle exploitable :
----------------------------------------------------------------------
SDCC     (aucun cycle) — aucun DIVIDEND_PAYMENT trouvé pour ce ticker
SEMC     (aucun cycle) — aucun DIVIDEND_PAYMENT trouvé pour ce ticker
SGBC     (aucun cycle) — aucun DIVIDEND_PAYMENT trouvé pour ce ticker
SHEC     FY2023   — seulement 0 jours avec prix sur la fenêtre ±60j
SHEC     FY2024   — seulement 0 jours avec prix sur la fenêtre ±60j
SICC     (aucun cycle) — aucun DIVIDEND_PAYMENT trouvé pour ce ticker
SIVC     (aucun cycle) — aucun DIVIDEND_PAYMENT trouvé pour ce ticker
SMBC     FY2025   — seulement 2 jours avec prix sur la fenêtre ±60j
SNTS     FY2023   — seulement 0 jours avec prix sur la fenêtre ±60j
SNTS     FY2024   — seulement 0 jours avec prix sur la fenêtre ±60j
SOGC     FY2025   — seulement 0 jours avec prix sur la fenêtre ±60j
TTLC     FY2025   — seulement 0 jours avec prix sur la fenêtre ±60j
TTLS     (aucun cycle) — aucun DIVIDEND_PAYMENT trouvé pour ce ticker
UNLC     (aucun cycle) — aucun DIVIDEND_PAYMENT trouvé pour ce ticker
UNXC     (aucun cycle) — aucun DIVIDEND_PAYMENT trouvé pour ce ticker
