ticker,fiscal_year,entree_offset,sortie_offset,date_entree,date_sortie,rendement_cycle,benchmark_cycle,alpha_cycle
SPHC,2024,5,0,2025-04-13,2025-07-17,54.007,14.5684,39.4386
STBC,2021,5,0,2022-07-03,2022-07-21,5.0602,0.3492,4.7111
STBC,2022,5,0,2023-07-05,2023-07-27,18.0885,1.1943,16.8942
STBC,2023,5,0,2024-06-26,2024-07-29,23.1944,2.4382,20.7562
STBC,2024,5,0,2025-08-04,2025-08-29,3.8136,6.0679,-2.2543
TTLC,2021,5,0,2022-06-21,2022-08-25,7.2686,-2.389,9.6576
TTLC,2022,5,0,2023-06-20,2023-09-21,9.7902,4.4777,5.3125
TTLC,2023,5,0,2024-06-26,2024-09-17,22.0331,10.7402,11.2929
TTLC,2024,5,0,2025-06-24,2025-09-03,-0.1934,10.0609,-10.2543
BOAB,2021,5,5,2022-04-18,2022-05-30,-3.8485,-2.2481,-1.6004
BOAB,2022,5,5,2023-04-19,2023-05-30,4.2131,-2.0419,6.2549
BOAB,2023,5,5,2024-04-17,2024-06-01,8.0138,3.6251,4.3887
BOAB,2024,5,5,2025-04-07,2025-06-08,7.6514,10.6203,-2.9689
BOAB,2025,5,5,2026-05-05,2026-05-20,8.0541,4.3836,3.6704
BOABF,2021,5,5,2022-04-03,2022-05-09,0.8,-1.1126,1.9126
BOABF,2022,5,5,2023-04-04,2023-05-10,7.125,-0.9106,8.0356
BOABF,2023,5,5,2024-04-02,2024-05-11,3.6056,0.7371,2.8685
BOABF,2024,5,5,2025-03-22,2025-04-27,-6.1163,0.7623,-6.8786
BOABF,2025,5,5,2026-03-28,2026-04-28,6.1162,1.0572,5.059
BOAC,2021,5,5,2022-04-05,2022-05-03,0.9649,0.3231,0.6418
BOAC,2022,5,5,2023-04-03,2023-05-03,8.2157,-1.6564,9.872
BOAC,2023,5,5,2024-04-02,2024-05-04,5.7655,1.1699,4.5957
BOAC,2024,5,5,2025-04-21,2025-05-25,9.2654,8.3008,0.9646
BOAC,2025,5,5,2026-04-20,2026-05-11,8.1341,0.3236,7.8105
BOAM,2023,5,5,2024-04-28,2024-05-26,22.562,2.0033,20.5587
BOAM,2024,5,5,2025-04-15,2025-06-08,23.0912,10.4328,12.6584
BOAM,2025,5,5,2026-04-19,2026-06-08,5.6391,10.852,-5.2129
BOAN,2021,5,5,2022-04-04,2022-05-17,5.6557,-2.5304,8.186
BOAN,2022,5,5,2023-04-04,2023-05-30,6.474,-2.0193,8.4933
BOAN,2023,5,5,2024-04-09,2024-06-05,-4.8699,4.3201,-9.19
BOAS,2021,5,5,2022-04-20,2022-06-06,6.4948,-2.6158,9.1106
BOAS,2022,5,5,2023-04-05,2023-06-06,32.8738,-2.7944,35.6682
BOAS,2023,5,5,2024-04-23,2024-07-02,21.5279,5.8651,15.6628
BOAS,2024,5,5,2025-04-13,2025-06-07,9.6341,11.3709,-1.7368
BOAS,2025,5,5,2026-05-05,2026-06-06,8.9273,10.9078,-1.9805
CABC,2021,5,5,2022-04-12,2022-08-07,-0.5172,-0.9657,0.4484
CABC,2025,5,5,2026-05-02,2026-06-06,14.6394,8.7377,5.9018
CBIBF,2021,5,5,2022-04-12,2022-07-11,-4.8718,2.2082,-7.08
CBIBF,2022,5,5,2023-04-22,2023-07-11,12.1003,0.976,11.1243
CBIBF,2023,5,5,2024-04-17,2024-07-10,16.7832,6.6091,10.1741
CBIBF,2024,5,5,2025-05-04,2025-07-12,13.4021,11.5354,1.8667
CBIBF,2025,5,5,2026-04-21,2026-06-24,35.0298,13.9708,21.059
CFAC,2021,5,5,2022-06-26,2022-08-07,-1.8286,0.5232,-2.3518
CFAC,2022,5,5,2023-07-02,2023-09-20,11.8519,2.9325,8.9194
CFAC,2023,5,5,2024-07-02,2024-09-04,0.292,12.3065,-12.0145
CIEC,2021,5,5,2022-06-25,2022-07-30,6.8696,0.9135,5.956
CIEC,2022,5,5,2023-06-25,2023-08-05,15.55,3.5487,12.0013
CIEC,2023,5,5,2024-07-01,2024-08-04,3.6591,4.0666,-0.4075
CIEC,2025,5,5,2026-06-29,2026-07-06,6.2188,2.0262,4.1926
ECOC,2021,5,5,2022-04-10,2022-05-04,0.1784,-0.5816,0.76
ECOC,2022,5,5,2023-05-01,2023-06-04,4.9864,-2.0639,7.0503
ECOC,2023,5,5,2024-04-30,2024-06-04,16.1421,2.0285,14.1136
ECOC,2024,5,5,2025-05-04,2025-06-04,11.2284,8.7623,2.4661
ECOC,2025,5,5,2026-04-29,2026-05-27,5.4479,3.9375,1.5103
FTSC,2023,5,5,2024-06-25,2024-10-05,225.9607,14.067,211.8937
NSBC,2022,5,5,2023-05-24,2023-07-12,19.4175,1.8959,17.5216
NSBC,2023,5,5,2024-05-28,2024-07-13,11.1,3.1423,7.9577
NSBC,2024,5,5,2025-05-31,2025-07-14,17.0636,4.1966,12.867
NTLC,2021,5,5,2022-05-25,2022-08-07,4.5429,3.1501,1.3927
NTLC,2022,5,5,2023-05-17,2023-08-13,18.3226,3.141,15.1816
